engine,level,concurrency,cores,run,qps,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
grule,L1,1,0-3,1,3018,0.300,0.300,0.400,1.300,31.700
grule,L1,1,0-3,2,3066,0.300,0.300,0.400,1.200,38.100
grule,L1,1,0-3,3,3239,0.300,0.300,0.400,1.000,23.800
grule,L1,1,0-3,4,3218,0.300,0.300,0.400,1.100,21.900
grule,L1,1,0-3,5,3211,0.300,0.300,0.400,1.100,40.500
grule,L1,200,0-3,1,20797,9.600,5.000,28.500,40.600,115.600
grule,L1,200,0-3,2,20300,9.800,5.000,29.200,41.600,116.500
grule,L1,200,0-3,3,21464,9.300,5.400,27.400,38.300,108.400
grule,L1,200,0-3,4,21124,9.500,5.100,28.400,39.700,113.200
grule,L1,200,0-3,5,20886,9.600,4.800,28.900,40.700,101.900
grule,L1,50,0-3,1,13746,3.600,2.600,9.600,13.800,82.700
grule,L1,50,0-3,2,13865,3.600,2.500,9.500,13.700,72.200
grule,L1,50,0-3,3,14142,3.500,2.400,9.400,13.400,118.100
grule,L1,50,0-3,4,13690,3.700,2.600,9.600,13.900,86.800
grule,L1,50,0-3,5,14800,3.400,2.300,9.200,12.900,36.300
grule,L2,1,0-3,1,2519,0.400,0.300,0.600,1.900,14.700
grule,L2,1,0-3,2,2573,0.400,0.300,0.600,1.800,12.900
grule,L2,1,0-3,3,2530,0.400,0.300,0.600,1.800,17.800
grule,L2,1,0-3,4,2562,0.400,0.300,0.600,1.800,13.400
grule,L2,1,0-3,5,2532,0.400,0.300,0.600,1.800,22.700
grule,L2,200,0-3,1,13419,14.900,4.400,52.500,82.200,195.200
grule,L2,200,0-3,2,13616,14.700,4.300,52.000,81.000,199.900
grule,L2,200,0-3,3,13829,14.500,4.300,51.800,81.300,241.900
grule,L2,200,0-3,4,13535,14.800,4.200,53.100,82.800,239.000
grule,L2,200,0-3,5,13621,14.700,4.300,52.700,82.800,230.800
grule,L2,50,0-3,1,10137,4.900,2.500,14.600,21.700,60.500
grule,L2,50,0-3,2,10305,4.900,2.400,14.300,21.100,56.500
grule,L2,50,0-3,3,10313,4.800,2.500,14.200,20.900,59.300
grule,L2,50,0-3,4,10370,4.800,2.400,14.100,20.800,47.100
grule,L2,50,0-3,5,10260,4.900,2.400,14.400,21.300,53.400
grule,L3,1,0-3,1,981,1.000,0.700,3.100,4.200,45.800
grule,L3,1,0-3,2,998,1.000,0.700,2.900,4.100,19.900
grule,L3,1,0-3,3,987,1.000,0.700,3.000,4.200,33.700
grule,L3,1,0-3,4,1006,1.000,0.700,2.900,4.000,29.800
grule,L3,1,0-3,5,933,1.100,0.700,3.100,4.500,49.700
grule,L3,200,0-3,1,5085,39.300,5.300,164.500,265.300,748.900
grule,L3,200,0-3,2,5193,38.500,5.100,161.200,254.000,793.100
grule,L3,200,0-3,3,5184,38.500,5.000,163.100,257.800,718.600
grule,L3,200,0-3,4,5262,38.000,5.100,162.500,256.200,648.100
grule,L3,200,0-3,5,5184,38.500,5.000,162.800,256.500,734.700
grule,L3,50,0-3,1,3501,14.300,11.000,43.900,66.800,220.200
grule,L3,50,0-3,2,3645,13.700,10.300,42.600,64.100,169.400
grule,L3,50,0-3,3,3594,13.900,10.200,43.500,65.100,165.500
grule,L3,50,0-3,4,3625,13.800,10.400,42.700,63.500,203.900
grule,L3,50,0-3,5,3625,13.800,10.100,42.900,64.200,183.200
grule,L4,1,0-3,1,716,1.400,1.000,3.500,4.400,23.600
grule,L4,1,0-3,2,696,1.400,1.000,3.600,4.700,34.400
grule,L4,1,0-3,3,736,1.400,0.900,3.400,4.300,26.500
grule,L4,1,0-3,4,727,1.400,0.900,3.500,4.300,24.300
grule,L4,1,0-3,5,715,1.400,0.900,3.500,4.400,33.500
grule,L4,200,0-3,1,3219,62.000,7.200,254.600,410.200,1052.700
grule,L4,200,0-3,2,3271,61.000,6.800,253.700,405.300,1360.400
grule,L4,200,0-3,3,3271,61.000,6.800,253.200,406.900,1074.700
grule,L4,200,0-3,4,3289,60.700,7.000,250.200,393.500,975.300
grule,L4,200,0-3,5,3288,60.700,6.900,253.000,404.300,1070.000
grule,L4,50,0-3,1,2246,22.300,19.100,64.900,95.900,232.300
grule,L4,50,0-3,2,2224,22.500,19.500,65.400,95.600,231.700
grule,L4,50,0-3,3,2243,22.300,19.100,65.300,97.000,284.400
grule,L4,50,0-3,4,2260,22.100,19.200,64.800,96.400,210.400
grule,L4,50,0-3,5,2259,22.100,19.100,64.600,95.900,227.800
