engine,level,concurrency,cores,run,qps,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
ordo,L1,1,0-3,1,4115,0.200,0.200,0.300,0.500,52.300
ordo,L1,1,0-3,2,4104,0.200,0.200,0.300,0.500,72.600
ordo,L1,1,0-3,3,4035,0.200,0.200,0.300,0.500,47.800
ordo,L1,1,0-3,4,4295,0.200,0.200,0.300,0.400,32.100
ordo,L1,1,0-3,5,4394,0.200,0.200,0.300,0.300,13.500
ordo,L1,200,0-3,1,40825,6.000,4.600,7.500,10.400,131.500
ordo,L1,200,0-3,2,41283,6.000,4.600,7.300,9.500,58.700
ordo,L1,200,0-3,3,41799,6.000,4.500,7.100,9.300,71.900
ordo,L1,200,0-3,4,41171,6.000,4.600,7.300,9.900,92.800
ordo,L1,200,0-3,5,38378,6.000,4.800,8.100,12.200,121.200
ordo,L1,50,0-3,1,32274,1.500,1.400,2.400,3.700,80.100
ordo,L1,50,0-3,2,33329,1.500,1.400,2.300,3.300,57.300
ordo,L1,50,0-3,3,34101,1.500,1.400,2.200,3.000,189.200
ordo,L1,50,0-3,4,33909,1.500,1.400,2.300,3.100,34.600
ordo,L1,50,0-3,5,33758,1.500,1.400,2.300,3.000,35.500
ordo,L2,1,0-3,1,4283,0.200,0.200,0.300,0.400,9.200
ordo,L2,1,0-3,2,4320,0.200,0.200,0.300,0.400,21.200
ordo,L2,1,0-3,3,4247,0.200,0.200,0.300,0.400,9.200
ordo,L2,1,0-3,4,4223,0.200,0.200,0.300,0.400,10.400
ordo,L2,1,0-3,5,4304,0.200,0.200,0.300,0.300,11.600
ordo,L2,200,0-3,1,39957,6.000,4.700,7.800,11.300,200.200
ordo,L2,200,0-3,2,40063,6.000,4.700,7.800,12.000,105.600
ordo,L2,200,0-3,3,37684,6.000,4.900,8.500,13.200,109.200
ordo,L2,200,0-3,4,38715,6.000,4.800,8.000,12.800,128.300
ordo,L2,200,0-3,5,39067,6.000,4.800,8.000,11.600,75.100
ordo,L2,50,0-3,1,30546,1.600,1.500,2.600,4.400,123.900
ordo,L2,50,0-3,2,33620,1.500,1.400,2.300,3.000,17.500
ordo,L2,50,0-3,3,34443,1.500,1.400,2.200,2.900,58.700
ordo,L2,50,0-3,4,33794,1.500,1.400,2.300,2.900,26.600
ordo,L2,50,0-3,5,31727,1.600,1.400,2.500,3.800,108.500
ordo,L3,1,0-3,1,4313,0.200,0.200,0.300,0.400,50.600
ordo,L3,1,0-3,2,4306,0.200,0.200,0.300,0.400,11.900
ordo,L3,1,0-3,3,4264,0.200,0.200,0.300,0.400,62.500
ordo,L3,1,0-3,4,4242,0.200,0.200,0.300,0.400,29.400
ordo,L3,1,0-3,5,4192,0.200,0.200,0.300,0.400,21.700
ordo,L3,200,0-3,1,38762,6.000,4.800,8.300,12.900,155.600
ordo,L3,200,0-3,2,38505,6.000,4.800,8.100,12.200,171.400
ordo,L3,200,0-3,3,38663,6.000,4.800,8.000,12.200,144.500
ordo,L3,200,0-3,4,39148,6.000,4.800,8.100,12.400,106.100
ordo,L3,200,0-3,5,39270,6.000,4.700,8.100,11.800,89.300
ordo,L3,50,0-3,1,33076,1.500,1.400,2.300,3.300,63.600
ordo,L3,50,0-3,2,30836,1.600,1.500,2.600,4.100,73.800
ordo,L3,50,0-3,3,30735,1.600,1.500,2.500,3.900,87.800
ordo,L3,50,0-3,4,33512,1.500,1.400,2.300,3.000,53.900
ordo,L3,50,0-3,5,30001,1.700,1.500,2.700,4.400,122.300
ordo,L4,1,0-3,1,4277,0.200,0.200,0.300,0.400,22.000
ordo,L4,1,0-3,2,4261,0.200,0.200,0.300,0.400,16.300
ordo,L4,1,0-3,3,4240,0.200,0.200,0.300,0.400,55.700
ordo,L4,1,0-3,4,4173,0.200,0.200,0.300,0.400,19.200
ordo,L4,1,0-3,5,4217,0.200,0.200,0.300,0.400,36.800
ordo,L4,200,0-3,1,34156,6.000,5.100,9.600,18.100,133.100
ordo,L4,200,0-3,2,35351,6.000,5.000,9.100,17.300,135.500
ordo,L4,200,0-3,3,39363,6.000,4.800,7.800,10.800,114.600
ordo,L4,200,0-3,4,39136,6.000,4.800,7.800,10.500,83.100
ordo,L4,200,0-3,5,36610,6.000,5.000,8.800,16.400,97.000
ordo,L4,50,0-3,1,32106,1.600,1.400,2.400,3.500,59.000
ordo,L4,50,0-3,2,29169,1.700,1.500,2.800,4.900,75.500
ordo,L4,50,0-3,3,32637,1.500,1.400,2.300,3.200,50.400
ordo,L4,50,0-3,4,27925,1.800,1.600,3.000,5.500,112.100
ordo,L4,50,0-3,5,31369,1.600,1.500,2.500,3.300,48.300
